,namespace,owner_name,req_mem_mb,req_cpu_milli_core,node_name,node_type,node_cpu,node_memory
0,apollo,o365-attachment-fetcher-85d8b66996,566.23104,325,node0,m5a.xlarge,3628.0,15393.923072
4,nginx-ingress,nginx-ingress-controller-78c765749,1073.741824,512,node0,m5a.xlarge,3628.0,15393.923072
9,phishing,kibana-phishing-kibana-6b8c75f8c4,524.288,10,node0,m5a.xlarge,3628.0,15393.923072
11,phishing,yara-scanner-9cd796d69,775.94624,525,node0,m5a.xlarge,3628.0,15393.923072
14,kong,konga-69f55f6f65,536.870912,200,node0,m5a.xlarge,3628.0,15393.923072
20,apollo,cerebro-f7fd9554b,268.435456,100,node0,m5a.xlarge,3628.0,15393.923072
22,apollo,fetcher-api-57db9bfb6d,3221.225472,1000,node0,m5a.xlarge,3628.0,15393.923072
24,grpc,grpc-test-client-85c55d84cc,134.217728,100,node0,m5a.xlarge,3628.0,15393.923072
30,monitoring,cost-analyzer-checks-1607575200,209.7152,20,node0,m5a.xlarge,3628.0,15393.923072
31,apollo,efex-api-665959db5c,838.8608,500,node0,m5a.xlarge,3628.0,15393.923072
50,emulators,apollo-mock-server-ffdf4877f,1200.0,100,node0,m5a.xlarge,3628.0,15393.923072
54,apollo,transaction-enrichment-777dbc47d9,110.10048,125,node0,m5a.xlarge,3628.0,15393.923072
57,apollo,mail-streamer-cron-1607576400,268.435456,100,node0,m5a.xlarge,3628.0,15393.923072
553,apollo,detection-rules-b594d9468,52.4288,10,node0,m5a.xlarge,3628.0,15393.923072
570,phishing,ghosts-69868f94f7,10.48576,1,node0,m5a.xlarge,3628.0,15393.923072
25,phishing,malicious-mail-data-stream-1607574709330540699,1502.609408,1000,node1,m5a.xlarge,3628.0,15393.923072
42,apollo,impostor-api-666b859458,1048.576,500,node1,m5a.xlarge,3628.0,15393.923072
62,phishing,kafka2s3-efs-provisioner-6f6dd5887b,268.435456,100,node1,m5a.xlarge,3628.0,15393.923072
63,kube-system,coredns-autoscaler-845866d655,10.48576,20,node1,m5a.xlarge,3628.0,15393.923072
68,kube-system,vault-cron-1607575800,268.435456,100,node1,m5a.xlarge,3628.0,15393.923072
73,apollo,incident-management-5698f889b9,578.813952,1025,node1,m5a.xlarge,3628.0,15393.923072
76,apollo,token-provider-78958fc7b5,1015.021568,275,node1,m5a.xlarge,3628.0,15393.923072
78,apollo,url-extractor-2-9dd575d5,524.288,300,node1,m5a.xlarge,3628.0,15393.923072
79,apollo,ldap-proxy-b45b7d76d,157.2864,30,node1,m5a.xlarge,3628.0,15393.923072
89,apollo,inspection-feedback-7cdc857489,1090.51904,125,node1,m5a.xlarge,3628.0,15393.923072
119,grpc,grpc-test-client-85c55d84cc,134.217728,100,node1,m5a.xlarge,3628.0,15393.923072
162,apollo,violated-mail-saver-679bf5866f,104.8576,45,node1,m5a.xlarge,3628.0,15393.923072
85,apollo,detection-gateway,3221.225472,500,node2,m5a.xlarge,3628.0,15393.923072
97,panda,panda-screenshot-worker-765bbcdf76,209.7152,300,node2,m5a.xlarge,3628.0,15393.923072
98,apollo,url-extractor-675b6b5d79,2139.09504,1525,node2,m5a.xlarge,3628.0,15393.923072
105,apollo,databased-indicators-58c6d47b9,4831.838208,1000,node2,m5a.xlarge,3628.0,15393.923072
121,monitoring,jaeger-elasticsearch-exporter-7f44cd4874,134.217728,100,node2,m5a.xlarge,3628.0,15393.923072
140,apollo,group-changes-7bcbc9d684,310.378496,125,node2,m5a.xlarge,3628.0,15393.923072
191,apollo,salesforce-connector-64475f7dc5,94.37184,55,node2,m5a.xlarge,3628.0,15393.923072
352,monitoring,cost-analyzer-checks-1607575800,209.7152,20,node2,m5a.xlarge,3628.0,15393.923072
101,apollo,elul-model-77597f7bd5,4336.910336,1425,node3,m5a.xlarge,3628.0,15393.923072
104,apollo,url-extractor-57f858bf79,2139.09504,1525,node3,m5a.xlarge,3628.0,15393.923072
111,elasticsearch,elasticsearch-jaeger-cluster-master,4718.592,500,node3,m5a.xlarge,3628.0,15393.923072
153,monitoring,prometheus-mysql-exporter-7bc8bb4d89,134.217728,100,node3,m5a.xlarge,3628.0,15393.923072
217,panda,whois-proxy-77b99867d5,134.217728,40,node3,m5a.xlarge,3628.0,15393.923072
393,monitoring,cost-analyzer-checks-1607576400,209.7152,20,node3,m5a.xlarge,3628.0,15393.923072
115,apollo,yara-scanner-8667755886,775.94624,525,node4,m5a.xlarge,3628.0,15393.923072
116,apollo,rules-by-context,566.23104,525,node4,m5a.xlarge,3628.0,15393.923072
120,apollo,impostor-65bb846776,566.23104,325,node4,m5a.xlarge,3628.0,15393.923072
128,phishing,scraper-explorer-7557698b97,2147.483648,1000,node4,m5a.xlarge,3628.0,15393.923072
138,apollo,incident-management-68fd577478,578.813952,1025,node4,m5a.xlarge,3628.0,15393.923072
154,apollo,mail-streamer-69567479f6,310.378496,125,node4,m5a.xlarge,3628.0,15393.923072
156,apollo,group-changes-cron-1607572800,268.435456,100,node4,m5a.xlarge,3628.0,15393.923072
143,elasticsearch,elasticsearch-jaeger-cluster-master,4718.592,500,node5,m5a.xlarge,3628.0,15393.923072
145,timberwolf,timberwolf-mimo-service-bcb4488db,268.435456,400,node5,m5a.xlarge,3628.0,15393.923072
150,apollo,detection-gateway,3221.225472,500,node5,m5a.xlarge,3628.0,15393.923072
183,monitoring,kafka-lag-exporter-646596ddf4,536.870912,500,node5,m5a.xlarge,3628.0,15393.923072
185,apollo,rules-by-context,566.23104,525,node5,m5a.xlarge,3628.0,15393.923072
186,apollo,url-dispatcher-5f7d95cc49,566.23104,525,node5,m5a.xlarge,3628.0,15393.923072
187,apollo,user-rate-limiter-7bbbbb458b,310.378496,125,node5,m5a.xlarge,3628.0,15393.923072
215,kube-system,vault-cron-1607576400,268.435456,100,node5,m5a.xlarge,3628.0,15393.923072
218,apollo,subscription-refresh-1607576400,268.435456,100,node5,m5a.xlarge,3628.0,15393.923072
231,apollo,couchbase-index-1607565600,268.435456,100,node5,m5a.xlarge,3628.0,15393.923072
240,kube-system,vault-cron-1607575500,268.435456,100,node5,m5a.xlarge,3628.0,15393.923072
248,apollo,cis-automation-55f595ff4f,209.7152,85,node5,m5a.xlarge,3628.0,15393.923072
303,phishing,elasticsearch-master,3221.225472,49,node5,m5a.xlarge,3628.0,15393.923072
212,apollo,apollo-api-tests-59f894fdcc,2189.426688,1525,node6,m5a.xlarge,3628.0,15393.923072
213,phishing,clean-mail-data-stream-1607575999338228219,1502.609408,1000,node6,m5a.xlarge,3628.0,15393.923072
241,phishing,phishing-defender-586ff9b659,2404.175053,1025,node6,m5a.xlarge,3628.0,15393.923072
405,monitoring,prometheus-couchbase-exporter-7d844bc7d8,134.217728,40,node6,m5a.xlarge,3628.0,15393.923072
574,monitoring,prometheus-kafka-exporter-755ffb487f,268.435456,30,node6,m5a.xlarge,3628.0,15393.923072
254,kube-system,vault-cron-1607576100,268.435456,100,node7,m5a.xlarge,3628.0,15393.923072
256,overprovisioning,overprovisioning-c-5cdfffbdd8,7516.192768,3000,node7,m5a.xlarge,3628.0,15393.923072
262,apollo,kafka2es-agg-tx-6b68d9b897,1073.741824,300,node7,m5a.xlarge,3628.0,15393.923072
276,panda,screenshotd-js-56dff774d7,1073.741824,100,node7,m5a.xlarge,3628.0,15393.923072
290,kube-system,coredns-7f59d7f88f,73.40032,100,node7,m5a.xlarge,3628.0,15393.923072
258,phishing,elul-etl-driver,1502.609408,1000,node8,m5a.xlarge,3628.0,15393.923072
259,apollo,subscription-dispatcher-6bf678cbd6,700.448768,625,node8,m5a.xlarge,3628.0,15393.923072
272,apollo,mail-tx-enricher-548bbbd9f6,2147.483648,1000,node8,m5a.xlarge,3628.0,15393.923072
287,apollo,o365-actions-98576c859,1090.51904,525,node8,m5a.xlarge,3628.0,15393.923072
292,apollo,nginx-email-body-screenshots-86b8dc9c85,268.435456,100,node8,m5a.xlarge,3628.0,15393.923072
294,emulators,apollo-mock-server-ffdf4877f,1200.0,100,node8,m5a.xlarge,3628.0,15393.923072
298,apollo,transaction-manager-795cc49998,671.08864,125,node8,m5a.xlarge,3628.0,15393.923072
306,apollo,group-changes-cron-1607576400,268.435456,100,node8,m5a.xlarge,3628.0,15393.923072
289,phishing,phishing-defender-586ff9b659,2404.175053,1025,node9,m5a.xlarge,3628.0,15393.923072
302,apollo,external-users-proxy-f9997f6d4,251.65824,275,node9,m5a.xlarge,3628.0,15393.923072
310,apollo,rotation-cron-1607571600,268.435456,100,node9,m5a.xlarge,3628.0,15393.923072
316,kong,kong-admin-ui-6dff5f9467,536.870912,200,node9,m5a.xlarge,3628.0,15393.923072
321,emulators,apollo-mock-server-ffdf4877f,1200.0,100,node9,m5a.xlarge,3628.0,15393.923072
324,apollo,o365-notification-77867bd9cf,566.23104,525,node9,m5a.xlarge,3628.0,15393.923072
327,phishing,scraper-collector-66bcf48fdb,1073.741824,1000,node9,m5a.xlarge,3628.0,15393.923072
334,apollo,kafka2es-audit-854fbd99d4,1073.741824,300,node9,m5a.xlarge,3628.0,15393.923072
350,apollo,subscription-refresh-1607575500,268.435456,100,node9,m5a.xlarge,3628.0,15393.923072
331,apollo,databased-indicators-58c6d47b9,4831.838208,1000,node10,m5a.xlarge,3628.0,15393.923072
332,apollo,phisherman-evaluator-7888b64fd9,2147.483648,1000,node10,m5a.xlarge,3628.0,15393.923072
340,apollo,incident-management-796586576d,578.813952,1025,node10,m5a.xlarge,3628.0,15393.923072
343,apollo,kafka2es-audit-854fbd99d4,1073.741824,300,node10,m5a.xlarge,3628.0,15393.923072
351,apollo,incident-management-cron-1607565600,268.435456,100,node10,m5a.xlarge,3628.0,15393.923072
358,apollo,sender-history-59768986cb,310.378496,125,node10,m5a.xlarge,3628.0,15393.923072
342,overprovisioning,overprovisioning-a-54948667bb,7516.192768,3000,node11,m5a.xlarge,3628.0,15393.923072
359,apollo,prepare-context-7b64c84c5c,566.23104,525,node11,m5a.xlarge,3628.0,15393.923072
377,kube-system,vault-cron-1607575200,268.435456,100,node11,m5a.xlarge,3628.0,15393.923072
353,phishing,elul-etl,1502.609408,1000,node12,m5a.xlarge,3628.0,15393.923072
354,apollo,phishing-defender-689f5554f5,2404.175053,1025,node12,m5a.xlarge,3628.0,15393.923072
367,apollo,impostor-model-5cfc85c6cc,1115.684864,1025,node12,m5a.xlarge,3628.0,15393.923072
397,apollo,o365-fetcher-78c9b58dd8,1090.51904,525,node12,m5a.xlarge,3628.0,15393.923072
383,apollo,o365-notification-77867bd9cf,700.448768,625,node13,m5a.xlarge,3628.0,15393.923072
386,apollo,subscription-worker-644568f865,700.448768,625,node13,m5a.xlarge,3628.0,15393.923072
401,timberwolf,timberwolf-mimo-service-bcb4488db,268.435456,400,node13,m5a.xlarge,3628.0,15393.923072
410,phishing,info-mail-data-stream-1607574409328925488,1502.609408,1000,node13,m5a.xlarge,3628.0,15393.923072
414,apollo,group-changes-cron-1607574600,268.435456,100,node13,m5a.xlarge,3628.0,15393.923072
419,grpc,grpc-test-server-66b684f6f7,134.217728,100,node13,m5a.xlarge,3628.0,15393.923072
423,apollo,similarity-engine-95585697c,310.378496,125,node13,m5a.xlarge,3628.0,15393.923072
436,apollo,content-feedback-54ddf47cf7,1048.576,500,node13,m5a.xlarge,3628.0,15393.923072
476,apollo,kafka-retry-89f4bf674,310.378496,125,node13,m5a.xlarge,3628.0,15393.923072
438,apollo,url-extractor-675b6b5d79,2139.09504,1525,node14,m5a.xlarge,3628.0,15393.923072
439,apollo,detection-decision-598f6d7548,566.23104,525,node14,m5a.xlarge,3628.0,15393.923072
448,phishing,mail-txn-stream-driver,1476.395008,200,node14,m5a.xlarge,3628.0,15393.923072
453,apollo,impostor-api-666b859458,1048.576,500,node14,m5a.xlarge,3628.0,15393.923072
460,apollo,detection-tx-stream,2621.44,200,node14,m5a.xlarge,3628.0,15393.923072
471,apollo,reports-renderer-65d76f4896,1652.555776,525,node14,m5a.xlarge,3628.0,15393.923072
479,monitoring,keda-operator-metrics-apiserver-59dc496984,134.217728,100,node14,m5a.xlarge,3628.0,15393.923072
451,apollo,url-extractor-675b6b5d79,2139.09504,1525,node15,m5a.xlarge,3628.0,15393.923072
470,phishing,scraper-storage-provider-6588777b7,1717.986919,1000,node15,m5a.xlarge,3628.0,15393.923072
474,apollo,phisherman-evaluator-7888b64fd9,2147.483648,1000,node15,m5a.xlarge,3628.0,15393.923072
485,apollo,cis-automation-55f595ff4f,209.7152,85,node15,m5a.xlarge,3628.0,15393.923072
478,panda,panda-front,1126.170624,1100,node16,m5a.xlarge,3628.0,15393.923072
487,apollo,model-api-54886766f5,1115.684864,1025,node16,m5a.xlarge,3628.0,15393.923072
495,apollo,mail-streamer-cron-1607576460,268.435456,100,node16,m5a.xlarge,3628.0,15393.923072
501,monitoring,kube-resource-report-7b5bcb646c,320.864256,200,node16,m5a.xlarge,3628.0,15393.923072
507,phishing,scraper-processor-main-58d45b55dd,1073.741824,1000,node16,m5a.xlarge,3628.0,15393.923072
513,apollo,policy-decision-5f87df47d,310.378496,125,node16,m5a.xlarge,3628.0,15393.923072
499,overprovisioning,overprovisioning-a-54948667bb,7516.192768,3000,node17,m5a.xlarge,3628.0,15393.923072
516,timberwolf,timberwolf-topic-deleter-1607497200,104.8576,100,node17,m5a.xlarge,3628.0,15393.923072
522,apollo,mail-streamer-cron-1607576520,268.435456,100,node17,m5a.xlarge,3628.0,15393.923072
536,monitoring,prometheus-version-checker,52.4288,200,node17,m5a.xlarge,3628.0,15393.923072
545,grpc,grpc-test-server-66b684f6f7,134.217728,100,node17,m5a.xlarge,3628.0,15393.923072
548,apollo,subscription-refresh-1607574600,268.435456,100,node17,m5a.xlarge,3628.0,15393.923072
504,apollo,url-extractor-57f858bf79,2139.09504,1525,node18,m5a.xlarge,3628.0,15393.923072
509,apollo,url-extractor-675b6b5d79,2139.09504,1525,node18,m5a.xlarge,3628.0,15393.923072
529,nginx-ingress,nginx-ingress-controller-78c765749,1073.741824,512,node18,m5a.xlarge,3628.0,15393.923072
512,overprovisioning,overprovisioning-b-584c69b857,7516.192768,3000,node19,m5a.xlarge,3628.0,15393.923072
535,phishing,scraper-kafka-connect-bcfdcc97d,2189.426688,525,node19,m5a.xlarge,3628.0,15393.923072
549,apollo,cis-automation-55f595ff4f,209.7152,85,node19,m5a.xlarge,3628.0,15393.923072
517,overprovisioning,overprovisioning-c-5cdfffbdd8,7516.192768,3000,node20,m5a.xlarge,3628.0,15393.923072
562,apollo,availability-tests-1607576400,268.435456,100,node20,m5a.xlarge,3628.0,15393.923072
563,apollo,transaction-enrichment-777dbc47d9,110.10048,125,node20,m5a.xlarge,3628.0,15393.923072
564,kube-system,efs-provisioner-69f469cd97,268.435456,100,node20,m5a.xlarge,3628.0,15393.923072
572,elasticsearch,elasticsearch-cleaner-jaeger-1607331600,134.217728,100,node20,m5a.xlarge,3628.0,15393.923072
573,kube-system,mysql-cleaner-1607500800,134.217728,100,node20,m5a.xlarge,3628.0,15393.923072
584,apollo,report-5ddc8d8fd9,566.23104,525,node21,m5a.xlarge,3628.0,15393.923072
587,timberwolf,timberwolf-data-provider-6d6ff897c4,268.435456,300,node21,m5a.xlarge,3628.0,15393.923072
588,apollo,url-dispatcher-5f7d95cc49,566.23104,525,node21,m5a.xlarge,3628.0,15393.923072
